elected,expired,dob,pageUrl,education,constituency,name,club,votes,history,party,votes/_source,history-mp,history-senate,recent-mp,recent-senate,total-mp,total-senate
09-10-2011,None,"26-12-1969, Siestrzeń",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=071,średnie zawodowe,20 Warszawa,Artur Dębski,Klub Parlamentarny Polskiego Stronnictwa Ludowego,15269,brak,Ruch Palikota,15269,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"06-11-1969, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=344,wyższe,20 Warszawa,Jacek Sasin,Klub Parlamentarny Prawo i Sprawiedliwość,29134,brak,Prawo i Sprawiedliwość,29134,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"11-05-1985, Opole",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=137,wyższe,21 Opole,Patryk Jaki,Klub Parlamentarny Zjednoczona Prawica,8911,brak,Prawo i Sprawiedliwość,8911,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"05-12-1975, Ozimek",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=165,wyższe,21 Opole,Adam Kępiński,Klub Poselski Sojusz Lewicy Demokratycznej,11175,brak,Ruch Palikota,11175,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"12-05-1950, Polanica Zdrój",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=177,wyższe,21 Opole,Brygida Kolenda-Łabuś,Klub Parlamentarny Platforma Obywatelska,10411,brak,Platforma Obywatelska,10411,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"16-07-1954, Kielce",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=247,wyższe,21 Opole,Rajmund Miller,Klub Parlamentarny Platforma Obywatelska,8901,brak,Platforma Obywatelska,8901,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"06-08-1949, Łomża",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=460,wyższe,21 Opole,Jerzy Żyżyński,Klub Parlamentarny Prawo i Sprawiedliwość,9872,brak,Prawo i Sprawiedliwość,9872,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"26-01-1962, Przemyśl",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=234,średnie zawodowe,22 Krosno,Małgorzata Marcinkiewicz,Koło Poselskie Ruch Palikota,10058,brak,Ruch Palikota,10058,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"01-02-1961, Zarzecze",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=340,wyższe,22 Krosno,Bogdan Rzońca,Klub Parlamentarny Prawo i Sprawiedliwość,15623,brak,Prawo i Sprawiedliwość,15623,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"12-07-1949, Nowa Wieś",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=450,wyższe,22 Krosno,Kazimierz Ziobro,Klub Parlamentarny Zjednoczona Prawica,8234,brak,Prawo i Sprawiedliwość,8234,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"25-02-1975, Rzeszów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=080,wyższe,23 Rzeszów,Dariusz Cezar Dziadzio,Klub Parlamentarny Polskiego Stronnictwa Ludowego,11091,brak,Ruch Palikota,11091,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"07-10-1945, Daniuszewo",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=132,wyższe,23 Rzeszów,Józefa Hrynkiewicz,Klub Parlamentarny Prawo i Sprawiedliwość,17039,brak,Prawo i Sprawiedliwość,17039,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"27-08-1965, Gołdap",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=155,wyższe,24 Białystok,Bożena Kamińska,Klub Parlamentarny Platforma Obywatelska,10019,brak,Platforma Obywatelska,10019,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"17-12-1964, Sielc",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=302,wyższe,24 Białystok,Dariusz Piontkowski,Klub Parlamentarny Prawo i Sprawiedliwość,14439,brak,Prawo i Sprawiedliwość,14439,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"04-04-1984, Augustów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=335,średnie ogólne,24 Białystok,Adam Rybakowicz,Koło Poselskie Ruch Palikota,11792,brak,Ruch Palikota,11792,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"29-06-1960, Gdańsk",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=023,wyższe,25 Gdańsk,Piotr Paweł Bauć,Koło Poselskie Ruch Palikota,13398,brak,Ruch Palikota,13398,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"01-03-1977, Wodzisław Śląski",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=030,wyższe,25 Gdańsk,Leszek Blanik,Klub Parlamentarny Platforma Obywatelska,15031,brak,Platforma Obywatelska,15031,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"15-03-1957, Gdańsk",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=125,wyższe,25 Gdańsk,Katarzyna Hall,Klub Parlamentarny Platforma Obywatelska,9898,brak,Platforma Obywatelska,9898,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"19-08-1947, Gdańsk",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=224,wyższe,25 Gdańsk,Maciej Łopiński,Klub Parlamentarny Prawo i Sprawiedliwość,15794,brak,Prawo i Sprawiedliwość,15794,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"13-09-1947, Kowalewo",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=131,wyższe,26 Gdynia,Teresa Hoppe,Klub Parlamentarny Platforma Obywatelska,7552,brak,Platforma Obywatelska,7552,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"26-05-1955, Sopot",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=390,wyższe,26 Gdynia,Janusz Śniadek,Klub Parlamentarny Prawo i Sprawiedliwość,26440,brak,Prawo i Sprawiedliwość,26440,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"11-06-1956, Wisła",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=104,wyższe,27 Bielsko-Biała,Czesław Gluza,Klub Parlamentarny Platforma Obywatelska,13334,brak,Platforma Obywatelska,13334,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"23-12-1972, Pińczów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=111,średnie policealne/pomaturalne,27 Bielsko-Biała,Artur Górczyński,Klub Poselski Sojusz Lewicy Demokratycznej,9980,brak,Ruch Palikota,9980,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"10-06-1961, Kocierz Rydzwałdzki",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=292,wyższe,27 Bielsko-Biała,Małgorzata Pępek,Klub Parlamentarny Platforma Obywatelska,12723,brak,Platforma Obywatelska,12723,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"23-06-1967, Cieszyn",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=405,wyższe,27 Bielsko-Biała,Aleksandra Trybuś-Cieślar,Klub Parlamentarny Platforma Obywatelska,10061,brak,Platforma Obywatelska,10061,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"08-04-1973, Częstochowa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=018,wyższe,28 Częstochowa,Marek Balt,Klub Poselski Sojusz Lewicy Demokratycznej,5378,brak,Sojusz Lewicy Demokratycznej,5378,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"10-10-1972, Myszków",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=040,średnie policealne/pomaturalne,28 Częstochowa,Artur Bramora,Klub Parlamentarny Polskiego Stronnictwa Ludowego,10610,brak,Ruch Palikota,10610,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"11-03-1978, Czeladź",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=046,wyższe,29 Gliwice,Borys Budka,Klub Parlamentarny Platforma Obywatelska,10260,brak,Platforma Obywatelska,10260,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"01-01-1959, Puławy",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=318,wyższe,29 Gliwice,Piotr Pyzik,Klub Parlamentarny Prawo i Sprawiedliwość,12039,brak,Prawo i Sprawiedliwość,12039,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"04-03-1963, Bytom",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=364,wyższe,29 Gliwice,Marek Stolarski,Klub Poselski Sojusz Lewicy Demokratycznej,12739,brak,Ruch Palikota,12739,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"19-12-1969, Brzeg Dolny",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=053,wyższe,3 Wrocław,Jarosław Charłampowicz,Klub Parlamentarny Platforma Obywatelska,8399,brak,Platforma Obywatelska,8399,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"03-01-1955, Radom",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=085,wyższe,3 Wrocław,Wincenty Elsner,Klub Poselski Sojusz Lewicy Demokratycznej,15969,brak,Ruch Palikota,15969,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"28-04-1962, Głubczyce",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=146,wyższe,3 Wrocław,Mariusz Orion Jędrysek,Klub Parlamentarny Prawo i Sprawiedliwość,22381,brak,Prawo i Sprawiedliwość,22381,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"19-07-1971, Trzebnica",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=220,wyższe,3 Wrocław,Marek Łapiński,Klub Parlamentarny Platforma Obywatelska,6357,brak,Platforma Obywatelska,6357,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"16-12-1955, Wrocław",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=391,wyższe,3 Wrocław,Jacek Świat,Klub Parlamentarny Prawo i Sprawiedliwość,14904,brak,Prawo i Sprawiedliwość,14904,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"05-01-1971, Wałbrzych",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=446,wyższe,3 Wrocław,Maciej Zieliński,Klub Parlamentarny Platforma Obywatelska,6099,brak,Platforma Obywatelska,6099,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"27-04-1965, Chorzów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=055,wyższe,30 Rybnik,Piotr Chmielowski,Klub Poselski Sojusz Lewicy Demokratycznej,9925,brak,Ruch Palikota,9925,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"24-02-1961, Jaworzno",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=239,wyższe,30 Rybnik,Grzegorz Matusiak,Klub Parlamentarny Prawo i Sprawiedliwość,6889,brak,Prawo i Sprawiedliwość,6889,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"02-09-1978, Katowice",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=181,wyższe,31 Katowice,Ewa Kołodziej,Klub Parlamentarny Platforma Obywatelska,14149,brak,Platforma Obywatelska,14149,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"17-03-1969, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=330,średnie ogólne,31 Katowice,Andrzej Rozenek,Poseł niezrzeszony,15793,brak,Ruch Palikota,15793,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"29-08-1957, Lipnica",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=036,zasadnicze zawodowe,32 Sosnowiec,Jerzy Borkowski,Koło Poselskie Ruch Palikota,20292,brak,Ruch Palikota,20292,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"19-03-1964, Ogrodzieniec",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=259,wyższe,32 Sosnowiec,Anna Nemś,Klub Parlamentarny Platforma Obywatelska,9086,brak,Platforma Obywatelska,9086,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"28-02-1961, Mąchocice Kapitulne",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=052,wyższe,33 Kielce,Jan Cedzyński,Klub Poselski Sojusz Lewicy Demokratycznej,14796,brak,Ruch Palikota,14796,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"24-03-1960, Bilcza",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=299,wyższe,33 Kielce,Lucjan Marek Pietrzczyk,Klub Parlamentarny Platforma Obywatelska,6057,brak,Platforma Obywatelska,6057,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"17-05-1974, Braniewo",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=291,wyższe,34 Elbląg,Wojciech Penkalski,Poseł niezrzeszony,9255,brak,Ruch Palikota,9255,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"01-03-1973, Ełk",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=229,wyższe,35 Olsztyn,Tomasz Makowski,Klub Parlamentarny Polskiego Stronnictwa Ludowego,7980,brak,Ruch Palikota,7980,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"13-02-1977, Starogard Gdański",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=287,wyższe,35 Olsztyn,Paweł Papke,Klub Parlamentarny Platforma Obywatelska,10132,brak,Platforma Obywatelska,10132,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"14-12-1975, Mogilno",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=173,wyższe,36 Kalisz,Krzysztof Kłosowski,Klub Poselski Sojusz Lewicy Demokratycznej,13080,brak,Ruch Palikota,13080,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"26-04-1970, Konin",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=209,średnie zawodowe,37 Konin,Jacek Kwiatkowski,Koło Poselskie Ruch Palikota,13380,brak,Ruch Palikota,13380,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"16-01-1962, Wyrzysk",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=139,wyższe,38 Piła,Maria Małgorzata Janyska,Klub Parlamentarny Platforma Obywatelska,12132,brak,Platforma Obywatelska,12132,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"10-07-1961, Makala",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=255,wyższe,38 Piła,Killion Munyama,Klub Parlamentarny Platforma Obywatelska,7925,brak,Platforma Obywatelska,7925,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"20-03-1978, Wągrowiec",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=257,średnie ogólne,38 Piła,Jacek Najder,Poseł niezrzeszony,11701,brak,Ruch Palikota,11701,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"24-01-1969, Gorzów Wlkp.",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=370,wyższe,38 Piła,Paweł Szałamacha,Klub Parlamentarny Prawo i Sprawiedliwość,12009,brak,Prawo i Sprawiedliwość,12009,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"13-06-1975, Poznań",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=019,średnie zawodowe,39 Poznań,Maciej Banaszak,Klub Poselski Sojusz Lewicy Demokratycznej,18837,brak,Ruch Palikota,18837,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"11-08-1979, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=191,wyższe,4 Bydgoszcz,Bartosz Kownacki,Klub Parlamentarny Prawo i Sprawiedliwość,7735,brak,Prawo i Sprawiedliwość,7735,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"11-08-1963, Więcbork",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=194,wyższe,4 Bydgoszcz,Iwona Kozłowska,Klub Parlamentarny Platforma Obywatelska,4668,brak,Platforma Obywatelska,4668,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"20-04-1981, Bydgoszcz",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=202,wyższe,4 Bydgoszcz,Łukasz Krupa,Poseł niezrzeszony,18401,brak,Ruch Palikota,18401,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"15-06-1953, Koszalin",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=130,wyższe,40 Koszalin,Marek Hok,Klub Parlamentarny Platforma Obywatelska,16364,brak,Platforma Obywatelska,16364,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"18-04-1954, Darłowo",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=216,wyższe,40 Koszalin,Andrzej Lewandowski,Koło Poselskie Ruch Palikota,11128,brak,Ruch Palikota,11128,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"26-04-1964, Stargard Szczeciński",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=222,wyższe,41 Szczecin,Zofia Ławrynowicz,Klub Parlamentarny Platforma Obywatelska,5057,brak,Platforma Obywatelska,5057,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"02-09-1969, Szczecin",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=293,wyższe,41 Szczecin,Andrzej Piątak,Poseł niezrzeszony,15579,brak,Ruch Palikota,15579,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"08-09-1956, Szczecin",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=459,wyższe,41 Szczecin,Ewa Żmuda-Trzebiatowska,Klub Parlamentarny Platforma Obywatelska,4906,brak,Platforma Obywatelska,4906,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"11-02-1961, Czernikowo",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=008,wyższe,5 Toruń,Jan Krzysztof Ardanowski,Klub Parlamentarny Prawo i Sprawiedliwość,14841,brak,Prawo i Sprawiedliwość,14841,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"24-04-1978, Grudziądz",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=386,wyższe,5 Toruń,Tomasz Szymański,Klub Parlamentarny Platforma Obywatelska,7510,brak,Platforma Obywatelska,7510,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"15-12-1974, Bydgoszcz",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=433,średnie zawodowe,5 Toruń,Maciej Wydrzyński,Koło Poselskie Ruch Palikota,15311,brak,Ruch Palikota,15311,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"30-08-1964, Świdnik",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=064,wyższe,6 Lublin,Jacek Czerniak,Klub Poselski Sojusz Lewicy Demokratycznej,5965,brak,Sojusz Lewicy Demokratycznej,5965,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"05-04-1988, Lublin",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=149,wyższe,6 Lublin,Michał Kabaciński,Koło Poselskie Ruch Palikota,6984,brak,Ruch Palikota,6984,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"17-02-1972, Łuków",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=204,średnie ogólne,6 Lublin,Cezary Kucharski,Klub Parlamentarny Platforma Obywatelska,7910,brak,Platforma Obywatelska,7910,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"20-06-1952, Lublin",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=314,wyższe,6 Lublin,Zofia Popiołek,Koło Poselskie Ruch Palikota,18752,brak,Ruch Palikota,18752,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"14-10-1984, Hrubieszów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=316,wyższe,7 Chełm,Marek Poznański,Poseł niezrzeszony,16640,brak,Ruch Palikota,16640,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"12-10-1977, Biłgoraj",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=376,wyższe,7 Chełm,Piotr Szeliga,Poseł niezrzeszony,8222,brak,Prawo i Sprawiedliwość,8222,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"05-08-1949, Biszcza",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=398,wyższe,7 Chełm,Genowefa Tokarska,Klub Parlamentarny Polskiego Stronnictwa Ludowego,8906,brak,Polskie Stronnictwo Ludowe,8906,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"01-04-1973, Zielona Góra",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=251,wyższe,8 Zielona Góra,Maciej Mroczek,Koło Poselskie Ruch Palikota,15335,brak,Ruch Palikota,15335,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"12-06-1962, Złocieniec",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=352,wyższe,8 Zielona Góra,Krystyna Sibińska,Klub Parlamentarny Platforma Obywatelska,8756,brak,Platforma Obywatelska,8756,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"09-09-1971, Sulechów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=357,wyższe,8 Zielona Góra,Waldemar Sługocki,Klub Parlamentarny Platforma Obywatelska,6465,brak,Platforma Obywatelska,6465,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"12-01-1979, Łódź",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=147,wyższe,9 Łódź,Dariusz Joński,Klub Poselski Sojusz Lewicy Demokratycznej,15164,brak,Sojusz Lewicy Demokratycznej,15164,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"15-03-1967, Koło",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=188,wyższe,9 Łódź,Roman Kotliński,Poseł niezrzeszony,17720,brak,Ruch Palikota,17720,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"25-10-1969, Łódź",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=262,wyższe,9 Łódź,Małgorzata Niemczyk,Klub Parlamentarny Platforma Obywatelska,10959,brak,Platforma Obywatelska,10959,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"09-01-1948, Wrocław",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=400,wyższe,9 Łódź,Jan Tomaszewski,Klub Parlamentarny Platforma Obywatelska,8114,brak,Prawo i Sprawiedliwość,8114,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,None,"05-05-1957, Piotrków Trybunalski",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=414,wyższe,9 Łódź,Witold Waszczykowski,Klub Parlamentarny Prawo i Sprawiedliwość,36854,brak,Prawo i Sprawiedliwość,36854,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,2011-10-25,"17-12-1974,",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=142,,33 Kielce,Adam Jarubas,,28750,brak,Polskie Stronnictwo Ludowe,28750,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,2011-10-25,"27-06-1974,",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=127,,6 Lublin,Krzysztof Hetman,,10804,brak,Polskie Stronnictwo Ludowe,10804,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,2011-10-27,"22-05-1970,",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=393,,2 Wałbrzych,Bogdan Święczkowski,,17109,brak,Prawo i Sprawiedliwość,17109,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,2011-10-27,"27-02-1968,",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=021,,9 Łódź,Dariusz Barski,,12245,brak,Prawo i Sprawiedliwość,12245,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
09-10-2011,2011-12-12,"27-01-1978, Lesko",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=056,wyższe,22 Krosno,Małgorzata Chomycz,Klub Parlamentarny Platforma Obywatelska,16829,brak,Platforma Obywatelska,16829,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
